ID,Month,Sex,Head.L,Head.W
39,7,1,10,5
41,7,2,11,6.5
41,8,2,12,6
41,11,2,12.5,5
41,5,2,12,6
43,7,1,11,5.5
43,8,1,12,5.5
45,7,1,16.5,9
45,7,1,16.5,9
48,9,1,15.5,8
69,10,1,16,8
83,7,1,17,10
83,9,1,15.5,7.5
83,4,1,17.5,8
83,8,1,15,9
91,8,2,15.5,6.5
179,4,2,13,7
238,9,1,15,6.5
241,7,1,15,7.5
253,4,1,13.5,8
47,4,1,15.5,7
274,9,2,13.5,7
280,5,2,12.5,6
394,6,1,12,8.3
501,8,1,16,9
503,8,1,9,4.5
509,8,2,12.5,4.5
511,8,1,14,5
513,8,2,11.5,5
515,8,1,13,8
518,9,1,13.5,7
518,8,1,14.5,7.5
520,9,2,9,4.5
522,9,1,13,6
522,9,1,13,6
522,9,1,13.5,6.5
525,9,1,16,9.5
527,9,2,12.5,5
527,7,2,12.5,6
527,9,2,12.5,6.5
529,9,2,13,5
529,8,2,13.5,5
531,9,1,13,5
531,11,1,13,5.5
533,9,1,10,4
535,9,1,16,6
538,9,1,10,4
538,6,1,11,5
541,9,1,13.5,6
543,9,2,13,5.5
545,9,2,13,6.5
547,9,1,14.5,5.5
547,10,1,14,6.5
549,10,1,13,6
549,9,1,13.5,6
549,4,1,11,4
549,10,1,9.5,4.5
551,10,2,13.5,6.5
553,10,2,14.5,6.5
555,8,1,13.5,5.5
555,4,1,11.5,5.5
555,10,1,11,5
557,10,1,11.5,5
560,10,1,13,7
560,7,1,13.5,6
562,10,1,16.5,6.5
564,10,1,14,5.5
568,10,2,13.5,6.5
570,10,1,15.5,7
572,11,1,11.5,6
574,5,1,11.5,5
576,11,1,12,6.5
579,10,1,15.5,7
581,11,2,9,5
583,11,2,14.5,7
585,11,1,13.5,8.5
578,4,1,18.5,8.5
578,5,1,15,7
589,4,1,10,4
590,4,1,10,5
592,4,2,13,7
592,4,2,15.5,6
596,4,1,15.5,9
598,4,1,13.5,7
598,10,1,14.5,6.5
598,11,1,15,7
301,8,1,16,9
601,5,1,11.5,5
606,5,2,11.5,5
609,5,2,11,4.5
611,5,2,12,6
615,5,2,13.5,5
617,6,2,13.5,5
617,8,2,12.5,7.5
619,6,1,14,6.5
621,6,2,12,5
623,6,2,13,6
623,8,2,13.5,5
626,8,1,12.5,6.5
626,11,1,13.5,6.5
628,7,1,14.5,6.5
630,7,1,12,6.5
630,9,1,13,6
630,9,1,13.5,6
630,10,1,13.5,6
630,11,1,13.5,6.5
632,7,2,11,5
634,8,1,14.5,6
636,8,1,15,8
638,8,2,12,6
640,8,1,17,9
640,8,1,15.5,8
642,8,1,15.5,8
644,8,1,12,6
644,9,1,13,5.5
646,8,1,17.5,8
648,8,1,13,5
648,9,1,13,5.5
648,10,1,13,6
650,8,2,13,5.5
652,8,2,12.5,6
655,8,2,10,4.5
657,8,1,16.5,8.5
659,9,1,17,8.5
661,9,1,12,5.5
661,9,1,13,6
663,9,2,14,7
665,9,1,13,6.5
670,10,1,16,7.5
673,10,2,13.5,5.5
675,11,2,12.5,5.5
677,11,1,15.5,8
679,11,1,15.5,7.5
681,11,1,14.5,7
683,6,1,12.5,8.5
909,8,2,12,5
911,8,1,12,5.5
907,8,2,13,6
555,7,1,15.5,6
555,7,1,15.5,6
692,7,1,12,4
694,7,1,13.5,6
657,8,1,16.5,6.5
