ID,Month,Sex,Head.L,Head.W,Neck.G,Length,Chest.G,Weight,Obs.No,Name
39,7,1,10,5,15,45,23,65,1,Allen
41,7,2,11,6.5,20,47.5,24,70,1,Berta
41,8,2,12,6,17,57,27,74,2,Berta
41,11,2,12.5,5,20.5,59.5,38,142,3,Berta
41,5,2,12,6,18,62,31,121,4,Berta
43,7,1,11,5.5,16,53,26,80,1,Clyde
43,8,1,12,5.5,17,56,30.5,108,2,Clyde
45,7,1,16.5,9,28,67.5,45,344,1,Doc
45,7,1,16.5,9,27,78,49,371,2,Doc
48,9,1,15.5,8,31,72,54,416,1,Quincy
69,10,1,16,8,32,77,52,432,1,Kooch
83,7,1,17,10,31.5,72,49,348,1,Charlie
83,9,1,15.5,7.5,32,75,54.5,476,2,Charlie
83,4,1,17.5,8,32,75,55,478,3,Charlie
83,8,1,15,9,33,75,49,386,4,Charlie
91,8,2,15.5,6.5,22,62,35,166,1,Geraldine
179,4,2,13,7,21,70,41,220,1,Fannie
238,9,1,15,6.5,28,78,45,334,2,Adam
241,7,1,15,7.5,26.5,73.5,41,262,1,Dieter
253,4,1,13.5,8,27,68.5,49,360,1,John
47,4,1,15.5,7,29.3,76,53,416,2,Palmer
274,9,2,13.5,7,20,64,38,204,1,Xeronda
280,5,2,12.5,6,18,58,31,144,1,Clara
394,6,1,12,8.3,18.5,60.3,32,122,1,Abe
501,8,1,16,9,29,73,44,332,1,Eugene
503,8,1,9,4.5,13,37,19,34,1,Floyd
509,8,2,12.5,4.5,10.5,63,32,140,1,Kim
511,8,1,14,5,21.5,67,37,180,1,Ichabod
513,8,2,11.5,5,17.5,52,29,105,1,Lorie
515,8,1,13,8,21.5,59,33,166,1,Mighty
518,9,1,13.5,7,24,64,39,204,1,Oliver
518,8,1,14.5,7.5,26.5,66,40,250,2,Oliver
520,9,2,9,4.5,12,36,19,26,1,Ness
522,9,1,13,6,19,59,30,120,1,Pete
522,9,1,13,6,19,59,30,114,2,Pete
522,9,1,13.5,6.5,23,66.5,38,210,3,Pete
525,9,1,16,9.5,30,72,48,436,1,Robert
527,9,2,12.5,5,19,57.5,32,125,1,Smokey
527,7,2,12.5,6,19,57,34,152,2,Smokey
527,9,2,12.5,6.5,19.5,61,36,176,3,Smokey
529,9,2,13,5,20,61,33,132,1,Tozia
529,8,2,13.5,5,18.5,57,35,180,2,Tozia
531,9,1,13,5,17,54,28,90,1,Unser
531,11,1,13,5.5,20.5,57.8,34.5,140,2,Unser
533,9,1,10,4,13,40,23,40,1,Viking
535,9,1,16,6,24,63,42,220,1,Walt
538,9,1,10,4,13.5,43,23,46,1,Xavier
538,6,1,11,5,15,45,25,60,2,Xavier
541,9,1,13.5,6,22,66.5,34,154,1,Yogi
543,9,2,13,5.5,17.5,60.5,31,116,1,Zelda
545,9,2,13,6.5,21,60,34.5,182,1,Allison
547,9,1,14.5,5.5,20,61,34,150,1,Buck
547,10,1,14,6.5,26,65,39,180,2,Buck
549,10,1,13,6,20,63,35,172,4,Christopher
549,9,1,13.5,6,21,59.5,32.5,150,3,Christopher
549,4,1,11,4,16,50.5,28,90,2,Christopher
549,10,1,9.5,4.5,16,40,26,65,1,Christopher
551,10,2,13.5,6.5,28,64,48,356,1,Diane
553,10,2,14.5,6.5,26,65,48,316,1,Edith
555,8,1,13.5,5.5,19,60.5,34,148,3,Gary
555,4,1,11.5,5.5,17.5,52.5,30,104,2,Gary
555,10,1,11,5,17,49,29,94,1,Gary
557,10,1,11.5,5,17,47,29.5,86,1,Herman
560,10,1,13,7,21,59,35,150,1,Jim
560,7,1,13.5,6,21,64,35,166,2,Jim
562,10,1,16.5,6.5,27,72,44.5,270,1,Ken
564,10,1,14,5.5,24,65,39,202,1,Leon
568,10,2,13.5,6.5,21.5,63,40,202,1,Noreen
570,10,1,15.5,7,28,70.5,50,365,1,Orville
