,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1816,1817,110.0,3.0,UK,13500000.0,13823741.0,61777,140.0,194.0,0,10.0,3000.0,2000.0,844.0,6420,6.9,Good
3588,3589,98.0,3.0,USA,6000000.0,39800000.0,81599,250.0,71.0,0,11000.0,13000.0,573.0,484.0,14921,7.4,Good
4197,4198,34.0,0.0,USA,34000.0,333658.0,97,2.0,1.0,16,19.0,882.0,577.0,362.0,1967,7.1,Good
4819,4820,98.0,2.0,USA,350000.0,,209,8.0,4.0,240,0.0,196.0,3.0,0.0,199,3.4,Bad
3671,3672,90.0,1.0,USA,3000000.0,24475193.0,190494,314.0,364.0,33000,23000.0,23000.0,19000.0,694.0,44265,6.6,Good
3753,3754,99.0,1.0,USA,8000000.0,10572742.0,2326,21.0,45.0,738,1000.0,849.0,578.0,409.0,2269,6.1,Good
3726,3727,134.0,0.0,Canada,,19097994.0,11744,49.0,125.0,0,81.0,882.0,845.0,388.0,2410,7.1,Good
3730,3731,106.0,0.0,USA,5000000.0,17382982.0,5975,33.0,9.0,0,23.0,1000.0,694.0,467.0,2840,5.2,Fair
1300,1301,107.0,3.0,USA,40000000.0,20113965.0,15231,66.0,125.0,0,42.0,875.0,596.0,171.0,1702,6.5,Good
2196,2197,124.0,1.0,USA,20000000.0,37672350.0,5427,51.0,29.0,0,8.0,508.0,270.0,232.0,1660,5.5,Fair
3078,3079,161.0,0.0,UK,12000000.0,56715371.0,427357,1736.0,285.0,24000,0.0,273.0,117.0,73.0,727,8.3,Excellent
3763,3764,90.0,0.0,USA,,6088249.0,67853,202.0,61.0,0,4.0,2000.0,936.0,556.0,5202,7.0,Good
845,846,101.0,2.0,USA,55000000.0,98711404.0,127571,207.0,247.0,0,189.0,15000.0,11000.0,7000.0,39822,6.3,Good
