Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Date
14.83,14.166,14.73,0,15.229,15.121,14.1,0,14.309,14.313,0,1-Jan-18
14.237,14.154,13.943,0,13.682,14.549,14.4,0,15.012,14.646,0,1-Jan-18
14.284,14.803,14.605,0,15.132,14.139,14.4,0,14.292,14.665,0,1-Jan-18
14.927,14.289,13.953,0,14.683,14.935,14.1,0,13.655,14.705,0,1-Jan-18
14.772,13.916,13.919,0,14.417,14.091,14.8,0,14.493,15.787,0,1-Jan-18
15.691,13.676,14.326,0,14.152,15.017,13.7,0,13.38,14.52,0,1-Jan-18
13.898,14.727,13.554,0,14.267,14.391,14.7,0,13.726,14.215,0,1-Jan-18
14.442,14.335,13.453,0,14.492,14.889,13.7,0,13.608,15.105,0,1-Jan-18
14.54,14.308,13.871,0,14.44,14.592,14.5,0,14.404,15.235,0,1-Jan-18
14.742,14.81,14.334,0,14.159,14.1,14.1,0,14.095,13.954,0,1-Jan-18
14.794,14.456,14.78,0,14.029,14.355,14,0,14.628,14.384,0,1-Jan-18
15.047,14.642,14.688,0,14.2,15.188,14.2,0,13.562,15.482,0,1-Jan-18
14.62,14.098,14.531,0,14.386,14.464,13.8,0,14.205,14.428,0,1-Jan-18
14.65,14.624,13.733,0,14.951,15.346,14.5,0,13.946,15.412,0,1-Jan-18
15.426,14.062,14.979,0,15.758,14.201,14.4,0,13.65,14.719,0,1-Jan-18
15.225,14.253,14.889,0,14.478,14.799,14.5,0,14.299,14.851,0,1-Jan-18
14.044,14.226,13.669,0,14.131,14.123,13.8,0,13.797,14.768,0,1-Jan-18
13.837,13.984,14.445,0,13.897,15.442,14.4,0,14.15,14.445,0,1-Jan-18
14.591,14.711,14.647,0,14.471,14.971,13.7,0,13.52,14.471,0,1-Jan-18
14.542,14.118,13.464,0,14.517,15.54,14.1,0,13.603,15.147,0,1-Jan-18
15.031,13.847,13.808,0,14.141,15.159,14.4,0,13.759,14.827,0,1-Jan-18
14.666,13.765,14.272,0,15.613,15.081,14.1,0,13.821,13.938,0,1-Jan-18
14.716,14.043,13.39,0,15.049,14.924,12.6,0,14.273,14.094,0,1-Jan-18
14.604,14.317,14.032,0,14.756,14.617,12.9,0,14.024,14.25,0,1-Jan-18
14.66,13.865,13.635,0,13.924,14.003,12.7,0,15.196,14.529,0,1-Jan-18
